time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.02449532854e-07,8.64998193373e-07,10.0062718294,0.000583474603542,6.28293347171,0.0,1.62813930199e-05,6.91039921489e-05,0.209045253507,0.0242668032066,-0.0142952322241,0.0,470.93167510042224,469.8249073252928,469.13775251999044,471.01778853647727
0.12000000000000001,9.6672215833e-06,2.39256855601e-05,10.0232271828,0.00213192412126,6.28246448117,0.0,0.000372192295065,0.000863448906454,0.356097928051,0.0287229847815,0.00272660172264,0.0,451.36110975559376,452.7326232473418,451.06551493163613,451.4252947987935
0.18,4.52137650496e-05,0.000122315911896,10.0459524314,0.00380999790116,6.28238576483,0.0,0.000807232671455,0.00257594204388,0.401394724139,0.0264135199919,-0.0109478727303,0.0,419.79972291487246,418.6117044728319,419.55362925034404,419.3533554340484
0.23999999999999996,0.000112200294068,0.000359837144118,10.0726153327,0.00525137267002,6.28183206697,0.0,0.00148590161856,0.00549298172755,0.487334646446,0.0187533369736,-0.00599365745751,0.0,433.08429467031834,433.50084546117483,432.23505254354995,431.5891979252927
0.3,0.000233384844986,0.000817828508004,10.1077343672,0.00622726814357,6.28232449483,0.0,0.00253497555944,0.00989556063343,0.683202202828,0.0107552806269,0.0273464659078,0.0,465.228378921094,467.83115367833443,466.9963231466331,466.3720348380746
0.36000000000000004,0.000398201472861,0.00155636016341,10.1537977729,0.00729320385816,0.000447523254758,0.0,0.00278966728061,0.0148205695854,0.852132997717,0.0290089186384,0.00741427818589,0.0,459.7154604241656,458.13358500205436,457.86222082296,459.31188474477193
0.4200000000000001,0.000555611132851,0.00258618972714,10.2057338769,0.00898094101938,0.00110037075137,0.0,0.00240657986065,0.0196632723531,0.879048665322,0.0263085471808,0.0170414243033,0.0,413.2460543148228,414.09358255429476,414.09437504440695,413.8570668405954
0.48000000000000015,0.000668678042728,0.00399172642822,10.2650998198,0.0109808263935,0.00213624506257,0.0,0.00123919967046,0.0274039722822,1.09962772522,0.0445897975738,0.0177071486079,0.0,475.06194977120373,475.1128893117629,473.06331115555014,474.4690799466914
0.5400000000000001,0.000692162382445,0.00588644610236,10.3352541559,0.0134608040233,0.00307984941833,0.0,-0.000564529794068,0.036030572922,1.2387058215,0.0338622297527,0.0114386633851,0.0,450.960229815206,450.45356176237595,450.45026687500297,449.5828907779588
0.6000000000000002,0.000595083329784,0.0083194127958,10.4114916418,0.0157873841677,0.00416175669911,0.0,-0.00275906061184,0.0452792885886,1.30246945324,0.0471344005656,0.0287266758642,0.0,425.9660726852539,427.4417229139904,426.37190164019495,427.5049727942975
0.6600000000000003,0.000327556655038,0.0114070676824,10.4946965139,0.0189435041768,0.00606364658109,0.0,-0.00636149283798,0.0579766123492,1.47081783501,0.0617527920863,0.0370612336321,0.0,459.05834773286193,459.7194827130525,459.59051593884436,460.74924632545395
0.7200000000000003,-0.000179169038398,0.0152653512973,10.5846057784,0.0230772596849,0.00803255637191,0.0,-0.0107305359115,0.0710078704168,1.52607576299,0.0803069861272,0.0225765493404,0.0,425.26487813624186,424.02291740359135,423.9333895645821,425.52827778727413
0.7800000000000004,-0.00102884989077,0.0201196577555,10.6832864272,0.0278588950481,0.00980000312259,0.0,-0.0177835256706,0.0913809515851,1.76292752418,0.0784394968751,0.0405310097048,0.0,480.755339391167,482.11388613488333,479.9634227599472,479.82626670159226
0.8400000000000004,-0.00230875073195,0.026199311912,10.7921681667,0.0327298876644,0.0121721318484,0.0,-0.0251245104001,0.11176052273,1.86628213742,0.0861694530569,0.0374666989074,0.0,440.9044669730384,440.6520467439786,441.1309111351284,441.7740649536725
0.9000000000000005,-0.00406130581559,0.0335605443691,10.9059401133,0.0380672260332,0.0144848349041,0.0,-0.0335119216442,0.134115204712,1.92599502611,0.0940118202171,0.0406184435114,0.0,427.5154773798201,427.78471446030454,427.0743569960474,427.74960883788793
0.9600000000000005,-0.00630932145424,0.0422270977255,11.0196746129,0.0439913573094,0.0175390971771,0.0,-0.0416425840118,0.155226682736,1.8652327594,0.106811001754,0.0660714356513,0.0,385.830385435109,388.2278360768137,385.5598192025768,386.77699990338886
1.0200000000000005,-0.0092200787631,0.05255742531,11.1364201393,0.0506266052107,0.0220722316965,0.0,-0.0558548347624,0.189829041648,2.02596720717,0.117229648242,0.0898092249063,0.0,458.9022846806553,460.78667379238834,458.5162247786884,459.35346578417017
1.0800000000000005,-0.0130308868537,0.0649807010755,11.2602116615,0.057279982632,0.0271855705078,0.0,-0.0716872301113,0.224948177106,2.10022973382,0.0935513470926,0.0739629612697,0.0,433.2108149886425,431.8824850603773,434.59332516842494,432.6151487596534
1.1400000000000006,-0.0179367807718,0.079734836543,11.3901108367,0.0627399186746,0.0311807010405,0.0,-0.0922922094765,0.267429119089,2.22944452367,0.085335536006,0.0447076855711,0.0,452.3138860601963,449.95480872172664,450.8378932938285,450.1804213094945
1.2000000000000006,-0.0241159035002,0.0970688353086,11.5264275713,0.0680765988664,0.0336004408906,0.0,-0.113929916701,0.310879949652,2.31422817969,0.0953264586216,0.029696432436,0.0,438.558729146789,437.31100551596086,436.6414481768687,437.48080810463046
1.2600000000000007,-0.0317681859299,0.11738006314,11.6715834909,0.0732931953974,0.0361304337354,0.0,-0.141395257217,0.366786213156,2.52379584891,0.0594906149049,0.0596332301828,0.0,475.29079619209665,477.5803264325539,477.1751046970118,474.43696140297266
